# Goblin 700
000000000;4291420554;0;Tx; 
001012859;3920121719;4;1;1;0
001012859;3920121719;6;4;0;0
001012859;3920121719;9;1;0;0
001012959;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001013059;3920121719;1;1;1;229
001013059;3920121719;2;1;0;0
001013062;3920121719;4;1;1;0
001013062;3920121719;5;4;0;0
001013062;3920121719;6;4;0;0
001013062;3920121719;9;1;0;0
001013179;3920121719;1;1;1;229
001013179;3920121719;2;1;0;0
001013179;3920121719;3;1;1;55
001013179;3920121719;4;1;1;0
001013179;3920121719;6;4;0;0
001013179;3920121719;9;1;0;0
001013271;3920121719;1;1;1;229
001013271;3920121719;2;1;0;0
001013272;3920121719;4;1;1;0
001013272;3920121719;6;4;0;0
001013272;3920121719;7;1;0;21
001013272;3920121719;9;1;0;0
001013399;3920121719;1;1;1;229
001013402;3920121719;2;1;0;0
001013402;3920121719;3;1;1;55
001013402;3920121719;4;1;1;0
001013402;3920121719;6;4;0;0
001013402;3920121719;9;1;0;0
001013500;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;96
001013500;3920121719;1;1;1;229
001013500;3920121719;2;1;0;0
001013500;3920121719;4;1;1;0
001013500;3920121719;6;4;0;0
001013500;3920121719;8;5;0;0
001013500;3920121719;9;1;0;0
001013579;3920121719;1;1;1;229
001013579;3920121719;2;1;0;0
001013579;3920121719;3;1;1;55
001013579;3920121719;4;1;1;0
001013579;3920121719;6;4;0;0
001013596;3920121719;9;1;0;0
001013679;3920121719;1;1;1;229
001013679;3920121719;2;1;0;0
001013679;3920121719;4;1;1;0
001013679;3920121719;5;4;0;0
001013679;3920121719;6;4;0;0
001013679;3920121719;9;1;0;0
001013779;3920121719;1;1;1;229
001013779;3920121719;2;1;0;0
001013779;3920121719;3;1;1;55
001013779;3920121719;4;1;1;0
001013779;3920121719;6;4;0;0
001013779;3920121719;9;1;0;0
001013879;3920121719;1;1;1;229
001013879;3920121719;2;1;0;0
001013879;3920121719;4;1;1;0
001013879;3920121719;6;4;0;0
001013883;3920121719;7;1;0;21
001013883;3920121719;9;1;0;0
001013991;3920121719;1;1;1;229
001013991;3920121719;2;1;0;0
001013991;3920121719;3;1;1;55
001013991;3920121719;4;1;1;0
001013991;3920121719;6;4;0;0
001013991;3920121719;9;1;0;0
