# Flame Wheel
000000000;4291420554;0;Tx; 
000224589;4300921482;8;1;1;10
000224589;4300921482;9;1;0;26
000224589;4300921482;10;1;0;296
000224589;4300921482;12;1;3;0
000224819;4300921482;1;5;0;2321
000224819;4300921482;2;9;0;2698116
000224819;4300921482;3;9;3;6292073
000224819;4300921482;4;0;0;1
000224819;4300921482;6;1;0;309
000224978;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;98
000225070;4300921482;5;0;0;8
000225070;4300921482;7;4;0;298422
000225070;4300921482;8;1;1;3
000225070;4300921482;9;1;0;26
000225070;4300921482;10;1;0;0
000225070;4300921482;12;1;3;0
000225258;4300921482;11;1;0;98
000225258;4300921482;13;4;0;0
000225258;4300921482;14;5;1;1706509
000225378;4300921482;1;5;0;2322
000225378;4300921482;2;9;0;2698116
000225378;4300921482;3;9;3;6292073
000225378;4300921482;4;0;0;1
000225378;4300921482;6;1;0;309
000225499;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000225541;4300921482;5;0;0;8
000225541;4300921482;7;4;0;298422
000225541;4300921482;8;1;1;1
000225541;4300921482;9;1;0;26
000225542;4300921482;10;1;0;0
000225542;4300921482;12;1;3;0
000225909;4300921482;1;5;0;2322
000225909;4300921482;2;9;0;2698116
000225909;4300921482;3;9;3;6292073
000225909;4300921482;4;0;0;1
000225912;4300921482;6;1;0;309
000226018;4300921482;5;0;0;8
000226018;4300921482;7;4;0;298422
000226018;4300921482;8;1;1;0
000226018;4300921482;9;1;0;26
000226019;4300921482;10;1;0;0
000226019;4300921482;12;1;3;0
000226019;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;98
000226338;4300921482;1;5;0;2323
000226338;4300921482;2;9;0;2698116
000226338;4300921482;3;9;3;6292073
000226338;4300921482;4;0;0;1
000226338;4300921482;6;1;0;310
000226498;4300921482;5;0;0;8
000226499;4300921482;7;4;0;298422
000226502;4300921482;8;1;1;1
000226502;4300921482;9;1;0;27
000226502;4300921482;10;1;0;0
000226502;4300921482;12;1;3;0
000226538;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000226629;4300921482;11;1;0;98
000226629;4300921482;13;4;0;0
000226629;4300921482;14;5;1;1706509
000226986;4300921482;1;5;0;2323
000226986;4300921482;2;9;0;2698116
000226988;4300921482;3;9;3;6292073
000226988;4300921482;4;0;0;1
000226988;4300921482;6;1;0;310
000227058;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000227109;4300921482;5;0;0;8
000227112;4300921482;7;4;0;298421
000227112;4300921482;8;1;1;6
000227112;4300921482;9;1;0;27
000227113;4300921482;10;1;0;290
000227113;4300921482;12;1;3;0
000227469;4300921482;1;5;0;2324
000227469;4300921482;2;9;0;2698117
000227469;4300921482;3;9;3;6292073
000227469;4300921482;4;0;0;1
000227469;4300921482;6;1;0;310
000227579;4300921482;5;0;0;8
000227579;4300921482;7;4;0;298420
000227579;4300921482;8;1;1;13
000227579;4300921482;9;1;0;27
000227579;4300921482;10;1;0;288
000227579;4300921482;12;1;3;0
000227582;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000227899;4300921482;11;1;0;98
000227899;4300921482;13;4;0;0
000227899;4300921482;14;5;1;1706509
000228059;4300921482;1;5;0;2324
000228059;4300921482;2;9;0;2698117
000228059;4300921482;3;9;3;6292072
000228059;4300921482;4;0;0;1
000228059;4300921482;6;1;0;310
000228098;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000228182;4300921482;5;0;0;8
000228182;4300921482;7;4;0;298420
000228182;4300921482;8;1;1;14
000228184;4300921482;9;1;0;27
000228184;4300921482;10;1;0;299
000228188;4300921482;12;1;3;0
000228498;4300921482;2;9;0;2698117
000228498;4300921482;3;9;3;6292073
000228498;4300921482;4;0;0;1
000228498;4300921482;6;1;0;310
000228539;4300921482;1;5;0;2325
000228618;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000228669;4300921482;5;0;0;8
000228669;4300921482;7;4;0;298421
000228669;4300921482;8;1;1;12
000228669;4300921482;9;1;0;27
000228669;4300921482;10;1;0;308
