# Goblin 700
000000000;4291420554;0;Tx; 
000000000;4272321920;0;Rx; 
000000000;4272321920;1;U Rx;V
000000000;4272321920;2;A1; 
000000000;4272321920;3;A2; 
000000000;4272321920;4;Q;%
000000000;3920121719;0;MEZON 130; 
000000000;3920121719;1;U Battery;V
000000000;3920121719;2;I Battery;A
000000000;3920121719;3;U BEC;V
000000000;3920121719;4;I BEC;A
000000000;3920121719;5;Capacity;mAh
000000000;3920121719;6;Revolution;RPM
000000000;3920121719;7;Temp.;°C
000000000;3920121719;8;Run Time;s
000000000;3920121719;9;PWM;%
000304210;3920121719;1;1;1;462
000304210;3920121719;2;1;0;0
000304210;3920121719;3;1;1;55
000304210;3920121719;4;1;1;0
000304210;3920121719;5;4;0;0
000304210;3920121719;6;4;0;0
000304210;3920121719;7;1;0;17
000304210;3920121719;8;5;0;0
000304210;3920121719;9;1;0;0
000304266;3920121719;1;1;1;462
000304266;3920121719;2;1;0;0
000304266;3920121719;4;1;1;0
000304266;3920121719;6;4;0;0
000304266;3920121719;7;1;0;17
000304267;3920121719;9;1;0;0
000304679;4272321920;1;1;2;765;2;1;0;9;3;1;0;9;4;1;0;100
000304840;3920121719;1;1;1;462
000304843;3920121719;2;1;0;0
000304843;3920121719;3;1;1;55
000304843;3920121719;4;1;1;0
000304843;3920121719;6;4;0;0
000304843;3920121719;9;1;0;0
000304878;3920121719;1;1;1;462
000304878;3920121719;2;1;0;0
000304878;3920121719;4;1;1;0
000304878;3920121719;6;4;0;0
000304878;3920121719;8;5;0;0
000304878;3920121719;9;1;0;0
000304998;3920121719;1;1;1;462
000304998;3920121719;2;1;0;0
000304998;3920121719;3;1;1;55
000304998;3920121719;4;1;1;0
000304998;3920121719;6;4;0;0
000304998;3920121719;9;1;0;0
000305097;3920121719;1;1;1;462
000305097;3920121719;2;1;0;0
000305097;3920121719;4;1;1;0
000305097;3920121719;5;4;0;0
000305097;3920121719;6;4;0;0
000305097;3920121719;9;1;0;0
000305200;3920121719;1;1;1;462
000305200;3920121719;2;1;0;0
000305200;3920121719;3;1;1;55
000305200;3920121719;4;1;1;0
000305200;3920121719;6;4;0;0
000305200;3920121719;9;1;0;0
000305201;4272321920;1;1;2;765;2;1;0;9;3;1;0;9;4;1;0;98
000305278;3920121719;1;1;1;462
000305278;3920121719;2;1;0;0
000305278;3920121719;4;1;1;0
000305278;3920121719;6;4;0;0
000305281;3920121719;7;1;0;17
000305281;3920121719;9;1;0;0
000305398;3920121719;1;1;1;462
000305398;3920121719;2;1;0;0
000305398;3920121719;3;1;1;55
000305398;3920121719;4;1;1;0
000305398;3920121719;6;4;0;0
000305398;3920121719;9;1;0;0
000305498;3920121719;1;1;1;462
000305498;3920121719;2;1;0;0
000305498;3920121719;4;1;1;0
000305498;3920121719;5;4;0;0
000305498;3920121719;6;4;0;0
000305498;3920121719;9;1;0;0
000305578;3920121719;1;1;1;462
000305578;3920121719;2;1;0;0
000305578;3920121719;3;1;1;55
000305581;3920121719;4;1;1;0
000305581;3920121719;6;4;0;0
000305581;3920121719;9;1;0;0
000305699;3920121719;1;1;1;462
000305699;3920121719;2;1;0;0
000305699;3920121719;4;1;1;0
000305699;3920121719;6;4;0;0
000305699;3920121719;7;1;0;17
000305699;3920121719;9;1;0;0
000305718;4272321920;1;1;2;765;2;1;0;9;3;1;0;9;4;1;0;100
000305816;3920121719;1;1;1;462
000305816;3920121719;2;1;0;0
000305816;3920121719;3;1;1;55
000305817;3920121719;4;1;1;0
000305817;3920121719;6;4;0;0
000305817;3920121719;9;1;0;0
000305879;3920121719;1;1;1;462
000305879;3920121719;2;1;0;0
000305879;3920121719;4;1;1;0
000305879;3920121719;6;4;0;0
000305879;3920121719;8;5;0;0
000305879;3920121719;9;1;0;0
000306118;3920121719;1;1;1;462
000306118;3920121719;2;1;0;0
000306118;3920121719;3;1;1;55
000306118;3920121719;4;1;1;0
000306118;3920121719;6;4;0;0
000306118;3920121719;9;1;0;0
000306178;3920121719;1;1;1;462
000306178;3920121719;2;1;0;0
000306178;3920121719;4;1;1;0
000306178;3920121719;5;4;0;0
000306178;3920121719;6;4;0;0
000306178;3920121719;9;1;0;0
000306238;4272321920;1;1;2;765;2;1;0;9;3;1;0;9;4;1;0;100
000306297;3920121719;1;1;1;462
000306297;3920121719;2;1;0;0
000306297;3920121719;3;1;1;55
000306297;3920121719;4;1;1;0
000306297;3920121719;6;4;0;0
000306297;3920121719;9;1;0;0
000306400;3920121719;1;1;1;462
000306400;3920121719;2;1;0;0
000306400;3920121719;4;1;1;0
000306400;3920121719;6;4;0;0
000306400;3920121719;7;1;0;17
000306400;3920121719;9;1;0;0
000306520;3920121719;1;1;1;462
000306520;3920121719;2;1;0;0
000306520;3920121719;3;1;1;55
000306524;3920121719;4;1;1;0
000306524;3920121719;6;4;0;0
000306524;3920121719;9;1;0;0
000306656;3920121719;1;1;1;462
000306657;3920121719;2;1;0;0
