# Goblin 700
000000000;4291420554;0;Tx; 
000182999;3920121719;6;4;0;0
000182999;3920121719;8;5;0;0
000182999;3920121719;9;1;0;0
000183098;3920121719;1;1;1;498
000183098;3920121719;2;1;0;0
000183098;3920121719;3;1;1;55
000183098;3920121719;4;1;1;0
000183101;3920121719;6;4;0;0
000183101;3920121719;9;1;0;0
000183198;3920121719;1;1;1;498
000183198;3920121719;2;1;0;0
000183198;3920121719;4;1;1;0
000183198;3920121719;5;4;0;0
000183198;3920121719;6;4;0;0
000183198;3920121719;9;1;0;0
000183310;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000183310;3920121719;1;1;1;498
000183310;3920121719;2;1;0;0
000183310;3920121719;3;1;1;55
000183310;3920121719;4;1;1;0
000183310;3920121719;6;4;0;0
000183310;3920121719;9;1;0;0
000183419;3920121719;1;1;1;498
000183422;3920121719;2;1;0;0
000183422;3920121719;4;1;1;0
000183422;3920121719;6;4;0;0
000183422;3920121719;7;1;0;21
000183422;3920121719;9;1;0;0
000183498;3920121719;1;1;1;498
000183498;3920121719;2;1;0;0
000183498;3920121719;3;1;1;55
000183498;3920121719;4;1;1;0
000183498;3920121719;6;4;0;0
000183498;3920121719;9;1;0;0
000183698;3920121719;1;1;1;498
000183698;3920121719;2;1;0;0
000183698;3920121719;4;1;1;0
000183698;3920121719;5;4;0;0
000183698;3920121719;6;4;0;0
000183698;3920121719;9;1;0;0
000183780;3920121719;1;1;1;498
000183780;3920121719;2;1;0;0
000183780;3920121719;3;1;1;55
000183780;3920121719;4;1;1;0
000183780;3920121719;6;4;0;0
000183780;3920121719;9;1;0;0
000183798;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000183899;3920121719;1;1;1;498
000183899;3920121719;2;1;0;0
000183899;3920121719;4;1;1;0
000183899;3920121719;6;4;0;0
000183899;3920121719;7;1;0;21
000183899;3920121719;9;1;0;0
000184030;3920121719;1;1;1;498
000184030;3920121719;2;1;0;0
000184030;3920121719;3;1;1;55
000184030;3920121719;4;1;1;0
000184033;3920121719;6;4;0;0
000184033;3920121719;9;1;0;0
000184098;3920121719;1;1;1;498
000184098;3920121719;2;1;0;0
000184098;3920121719;4;1;1;0
000184098;3920121719;6;4;0;0
000184098;3920121719;8;5;0;0
000184098;3920121719;9;1;0;0
000184178;3920121719;1;1;1;498
000184178;3920121719;2;1;0;0
000184178;3920121719;3;1;1;55
000184178;3920121719;4;1;1;0
000184178;3920121719;6;4;0;0
000184178;3920121719;9;1;0;0
000184278;3920121719;1;1;1;498
000184278;3920121719;2;1;0;0
000184278;3920121719;4;1;1;0
000184281;3920121719;5;4;0;0
000184281;3920121719;6;4;0;0
000184281;3920121719;9;1;0;0
000184337;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;98
000184379;3920121719;1;1;1;498
000184379;3920121719;2;1;0;0
000184379;3920121719;3;1;1;55
000184379;3920121719;4;1;1;0
000184379;3920121719;6;4;0;0
000184379;3920121719;9;1;0;0
000184478;3920121719;1;1;1;498
000184479;3920121719;2;1;0;0
000184479;3920121719;4;1;1;0
000184479;3920121719;6;4;0;0
